loan_amount,term,interest_rate,annual_income,debt_to_income,credit_score,employment_length,purpose,delinq_2yrs,revol_util,default
14417,36,16.83,54228,5.88,603,14,car,2,96.24,0
41757,60,29.2,182727,34.36,597,16,car,4,89.02,1
10692,60,9.64,63472,5.4,375,13,car,3,27.03,0
46758,60,26.72,69437,29.63,632,17,small_business,2,82.28,0
7873,36,24.41,79711,38.96,773,1,other,3,51.83,0
6675,60,24.27,157888,20.32,582,3,medical,3,46.18,0
1161,60,26.12,97175,13.22,371,17,small_business,4,31.44,0
38065,60,24.03,84307,29.67,562,6,small_business,2,58.1,1
27557,36,20.66,66733,33.6,311,12,credit_card,0,72.99,1
34763,36,8.28,148202,24.13,440,14,credit_card,1,41.09,0
33606,36,5.81,115028,38.85,316,0,credit_card,4,62.92,0
12534,36,28.02,162312,6.81,362,10,home,2,69.93,0
30127,36,20.42,112493,22.67,552,9,credit_card,3,71.11,0
41397,36,24.91,145149,30.15,764,4,medical,2,5.2,0
26851,36,17.04,183834,35.19,675,15,small_business,1,85.97,0
2016,36,7.93,28259,11.27,819,10,medical,1,45.83,0
25253,60,8.13,148775,33.0,389,5,other,0,26.24,0
25276,60,22.14,34849,24.34,474,8,credit_card,0,24.18,0
24247,36,15.76,101768,18.88,375,12,home,1,48.3,0
25300,36,10.01,126108,9.61,699,7,other,4,88.68,0
9529,60,17.29,109709,35.29,370,13,home,4,37.83,0
18262,36,6.61,74869,10.5,479,0,other,3,74.97,0
10268,36,19.55,146888,15.84,423,16,small_business,0,9.68,0
22271,36,11.72,83095,15.15,680,4,medical,3,47.61,0
13185,60,24.94,137886,35.5,592,1,car,0,99.17,1
22243,60,12.76,90910,28.54,494,8,medical,1,77.04,0
40099,60,16.38,43567,32.88,527,3,credit_card,4,21.05,0
9571,60,5.29,55292,13.77,730,16,car,4,50.14,0
40976,60,6.81,94813,26.87,735,16,home,1,23.36,0
39044,36,14.81,117136,25.01,760,17,small_business,3,40.96,0
49984,60,17.0,71631,34.15,320,15,small_business,3,78.01,0
41774,36,20.0,29885,36.71,363,7,home,2,77.12,0
3568,36,12.29,86314,5.43,464,10,credit_card,0,22.81,0
3027,60,22.37,85087,28.59,326,17,home,3,92.22,1
3695,60,26.5,180237,6.81,610,9,other,1,59.26,0
49190,36,24.5,115998,24.21,584,12,credit_card,3,37.99,0
6258,36,5.99,69812,15.07,580,16,car,4,50.19,0
23002,36,17.01,78643,15.74,463,17,home,0,60.51,0
40504,60,7.62,64900,17.35,523,9,credit_card,2,55.99,0
34159,60,11.05,194018,26.75,445,15,car,0,48.64,0
14986,60,29.67,158923,16.69,329,19,home,4,50.49,0
13666,60,8.56,36288,30.64,344,4,small_business,4,17.64,0
39660,60,17.47,92692,19.16,770,12,home,4,81.27,0
4561,36,20.45,158440,7.39,333,17,medical,4,54.18,0
27854,60,22.56,105436,32.43,726,16,home,1,13.11,0
39952,36,18.99,66403,15.0,520,8,medical,2,76.62,0
23662,36,5.24,111170,20.15,833,13,car,4,93.24,0
9392,36,13.16,29168,28.99,666,16,home,4,94.73,0
31535,60,17.94,69879,16.64,849,3,car,3,36.9,0
14067,60,7.2,79871,6.98,415,17,car,2,13.55,0
49033,60,13.77,52174,18.09,538,19,credit_card,0,51.84,0
24599,36,5.83,157653,38.06,634,14,car,2,11.26,0
36222,36,6.96,130155,27.46,740,10,car,2,93.4,0
12837,36,14.92,91853,28.5,447,11,home,2,18.36,0
15039,36,8.32,84046,27.13,308,8,home,4,25.28,0
31818,36,19.19,69678,11.96,587,12,small_business,4,40.66,0
20115,36,22.24,46649,19.64,687,14,credit_card,1,38.32,0
11965,60,25.01,147795,31.28,349,14,car,0,79.47,1
25538,60,10.0,108668,8.55,816,4,credit_card,3,45.63,0
43530,60,9.19,165639,14.72,577,18,medical,2,17.08,0
6056,60,7.61,109906,14.67,599,19,car,0,26.72,0
33482,36,20.91,116019,20.12,434,13,credit_card,0,50.91,0
48716,36,22.66,98002,39.31,446,16,small_business,1,14.75,1
9110,60,5.79,48803,7.36,789,17,small_business,3,61.17,0
14773,36,28.41,169302,23.15,777,2,car,2,56.57,0
28266,60,6.3,168934,11.28,458,1,medical,3,71.47,0
18412,60,18.53,194427,38.97,683,0,small_business,1,93.77,0
34270,60,22.73,182331,8.97,462,9,small_business,4,91.23,0
7910,36,26.77,50795,19.13,740,18,medical,0,94.61,0
46453,60,22.85,28770,30.83,488,16,credit_card,2,24.47,1
26446,60,25.04,31093,29.66,714,11,small_business,4,13.16,0
1206,60,13.49,197643,19.8,638,0,home,1,30.23,0
22518,36,25.37,151265,17.13,480,11,other,3,89.51,0
23361,36,7.0,120311,18.92,587,16,other,0,97.21,0
24419,60,27.37,37569,14.25,486,2,small_business,2,85.93,0
49702,36,18.69,31190,12.19,437,10,credit_card,4,11.0,0
42523,36,25.43,82824,21.91,429,16,credit_card,4,94.74,0
46151,36,16.31,193824,14.4,493,2,car,0,42.34,0
23403,36,21.09,183399,15.06,615,7,home,3,0.93,0
19141,36,18.16,62070,27.99,443,19,credit_card,1,44.24,0
15820,36,23.29,60197,38.9,315,3,medical,3,4.61,1
41342,36,7.04,22261,26.13,601,6,home,3,54.39,0
7374,36,6.51,177584,7.69,722,13,other,3,33.86,0
2678,36,11.18,157788,7.65,544,13,home,0,47.34,0
34827,36,8.99,106795,38.3,406,3,medical,0,61.32,0
17198,60,26.79,48933,15.41,387,15,small_business,1,86.88,0
10914,60,10.48,155450,8.22,428,0,medical,3,66.19,0
28890,36,29.4,60583,25.97,640,16,medical,0,43.4,0
23299,60,13.42,132082,26.83,303,9,small_business,1,81.94,0
44585,60,9.55,105371,27.7,626,15,small_business,1,90.56,0
44689,36,24.74,180105,14.36,709,15,small_business,3,11.98,0
43557,36,21.47,175072,5.53,605,7,small_business,2,53.19,0
45020,36,17.45,131032,38.78,524,6,small_business,3,28.45,0
3693,60,18.88,62604,13.78,647,5,medical,2,4.71,0
30467,60,22.98,115074,28.66,620,15,car,1,66.85,0
30723,36,10.71,93869,29.73,480,19,car,0,86.28,0
47699,36,29.91,25410,26.35,685,15,credit_card,4,16.29,0
4627,36,29.37,103375,15.95,407,6,car,1,81.24,0
26939,60,21.26,116055,14.49,830,8,other,0,85.34,0
49925,60,9.99,157868,25.92,709,13,car,1,91.43,0
43941,60,22.01,106716,35.31,595,10,medical,3,26.53,1
22834,60,6.8,74245,38.14,470,13,small_business,2,90.4,0
19047,36,5.77,63056,8.71,630,6,small_business,1,32.07,0
27105,36,11.44,168781,10.42,792,0,medical,0,55.23,0
11230,36,16.57,78557,38.07,494,12,other,3,5.05,0
16707,36,26.71,37543,30.78,311,19,car,4,4.39,1
22976,60,23.18,188490,35.9,494,2,medical,3,72.04,1
45262,60,23.57,116038,12.09,789,19,credit_card,2,44.45,0
24776,36,15.64,167796,25.57,481,3,small_business,3,25.63,0
31080,36,13.65,23828,29.54,615,10,home,4,19.04,0
2306,60,14.28,136656,28.8,329,1,credit_card,0,67.0,0
7776,36,29.69,37087,19.29,395,13,other,1,0.04,0
28251,60,6.0,163677,5.54,680,11,credit_card,2,80.59,0
10474,36,26.68,51337,25.4,743,16,medical,4,7.92,0
41294,36,19.47,156554,13.86,597,11,car,2,19.15,0
22959,36,15.97,85333,20.76,660,11,small_business,3,38.62,0
6530,36,23.13,156535,38.52,673,0,other,2,48.49,0
30320,36,17.17,90448,18.97,602,12,other,4,35.5,0
4748,36,26.84,24648,34.39,720,13,home,1,32.07,0
32968,36,27.52,150576,11.6,545,1,credit_card,1,96.39,0
33562,60,15.54,53623,28.54,536,11,home,2,64.16,0
14545,60,11.92,55634,39.2,833,15,car,0,2.34,0
1663,60,19.81,195674,8.57,484,3,car,2,43.02,0
35766,60,27.81,134598,5.29,767,7,home,3,87.5,0
8994,60,10.27,69334,20.18,662,1,small_business,1,30.15,0
29021,36,20.57,88648,8.24,582,9,car,1,9.46,0
31303,36,20.79,42054,31.19,635,8,home,1,75.84,0
4304,60,23.33,90028,37.01,461,14,credit_card,0,60.6,1
47576,36,8.29,42207,20.19,459,12,home,0,57.03,0
40353,60,22.9,101554,14.05,773,16,home,4,5.36,0
18675,60,27.73,172458,20.2,621,15,medical,2,14.05,0
45417,36,9.49,103276,30.32,311,1,car,2,62.25,0
24938,36,10.94,72781,5.32,723,19,small_business,3,20.78,0
24664,36,29.28,195271,25.63,372,19,small_business,1,50.41,1
2636,60,9.52,81035,26.47,500,13,medical,0,54.49,0
21080,36,26.36,28210,27.32,821,2,other,3,28.35,0
28728,60,17.31,64363,13.47,804,11,small_business,3,94.84,0
27736,60,11.18,98279,29.99,338,7,home,0,84.25,0
29673,60,26.77,173504,8.2,359,1,medical,2,72.24,0
38505,36,16.13,154393,11.97,620,3,credit_card,1,7.8,0
48323,36,17.87,101348,35.71,734,13,car,2,10.61,0
47645,60,13.98,188455,30.86,707,15,car,3,49.28,0
1854,36,19.82,133816,5.48,685,18,car,1,16.07,0
25548,36,9.09,143053,13.69,377,1,home,4,97.83,0
39623,36,14.78,186892,12.5,493,11,credit_card,3,15.85,0
8392,60,29.24,86262,14.48,584,13,medical,2,48.75,0
47717,60,11.45,154832,13.66,826,5,medical,2,36.41,0
22556,36,21.42,173262,7.19,823,12,car,2,63.94,0
39559,60,13.13,87411,21.06,455,3,credit_card,0,12.9,0
27309,36,24.34,43377,30.65,639,17,credit_card,3,43.03,0
22919,36,8.27,197809,26.24,424,11,credit_card,1,27.47,0
5931,36,29.25,58211,28.55,579,19,small_business,2,88.78,1
33970,36,16.34,23744,7.84,427,18,small_business,2,4.06,0
45215,60,10.9,44995,38.3,613,7,car,0,91.37,0
13688,60,6.84,168049,34.35,631,6,credit_card,1,83.3,0
26342,60,9.24,54542,33.18,449,15,other,3,29.76,0
38157,36,17.99,30651,33.8,753,18,credit_card,4,78.93,0
3327,36,13.43,119239,37.64,335,5,medical,0,3.12,0
41772,36,25.72,98931,24.05,719,19,medical,3,96.69,0
41545,60,15.77,122112,12.01,321,10,car,4,52.66,0
1197,36,11.22,36715,26.59,505,4,other,2,30.33,0
24509,60,20.43,195481,31.0,655,15,credit_card,2,36.26,0
35698,60,22.67,175378,30.83,739,6,other,1,6.64,0
45542,60,9.18,170158,23.25,395,4,car,4,98.93,0
16087,60,9.19,165448,7.4,463,10,medical,2,3.93,0
23671,60,5.92,81350,17.99,447,14,medical,2,65.49,0
26184,60,23.41,91425,37.23,829,2,small_business,1,44.27,0
28848,36,21.6,187708,25.46,593,4,car,3,94.89,1
43107,36,16.87,106120,23.84,494,4,car,2,24.6,0
21666,60,26.1,134889,14.41,779,8,credit_card,0,53.21,0
45357,60,25.14,185682,17.9,422,14,credit_card,0,48.24,0
16708,36,19.63,161130,36.34,699,2,small_business,3,70.29,0
27370,60,26.71,94637,28.33,751,5,home,4,6.8,0
3811,60,10.15,90194,32.56,403,16,other,1,19.38,0
48011,36,7.8,96917,20.9,761,7,home,0,21.46,0
7546,60,11.74,84200,27.06,695,10,home,0,73.82,0
35754,60,6.43,125848,13.69,636,5,car,3,18.91,0
31206,60,18.28,126022,29.69,441,7,other,4,57.35,0
42106,36,28.42,197691,19.97,616,9,car,4,21.52,0
12411,36,5.98,168226,20.49,826,2,other,3,86.16,0
3911,36,8.05,170611,27.73,700,13,medical,0,94.22,0
2734,60,16.3,80058,37.77,609,13,car,1,51.85,0
19227,60,28.35,82068,7.24,794,9,car,0,35.23,0
9680,36,12.9,119932,33.87,408,11,car,4,23.41,0
20360,60,17.68,181445,15.23,671,5,small_business,0,4.98,0
19343,60,6.04,184226,20.54,505,11,car,1,26.85,0
6759,60,8.71,157103,5.77,342,13,credit_card,2,65.42,0
24078,60,29.67,42785,15.54,544,1,credit_card,0,53.36,0
36153,60,29.13,179741,22.59,586,8,other,3,94.4,0
12111,36,5.12,114475,6.97,654,9,medical,2,39.63,0
38504,60,28.8,22282,22.19,775,16,small_business,3,69.39,0
2802,36,20.98,185696,37.45,382,16,other,3,48.93,1
9155,60,26.7,199510,8.69,409,2,credit_card,3,51.26,0
9120,36,16.37,87534,31.76,489,18,small_business,0,26.78,0
40384,60,17.89,182777,19.34,550,0,small_business,4,45.5,0
48025,36,17.22,189316,27.93,590,11,medical,2,47.08,0
48254,60,21.67,94964,14.11,500,6,small_business,1,70.66,0
22918,36,8.49,188509,10.58,625,3,car,4,94.06,0
21445,60,5.75,139006,10.62,810,9,small_business,0,32.93,0
31306,36,12.7,70583,7.47,708,12,medical,3,4.22,0
17646,60,22.62,58392,11.5,807,1,other,1,49.63,0
47843,36,10.05,27461,28.25,371,9,medical,2,54.45,0
32065,36,21.84,120123,35.86,546,3,medical,4,16.84,1
26199,60,29.25,30516,33.49,643,17,credit_card,4,76.05,0
42976,60,7.35,168586,28.98,353,4,car,1,98.49,0
17371,36,21.82,141251,8.87,827,18,credit_card,0,94.58,0
12835,60,16.09,187340,15.12,831,1,other,2,19.71,0
46936,36,26.7,187860,15.84,492,11,home,1,87.54,0
3049,36,9.43,82493,13.75,357,16,other,3,70.45,0
32616,36,22.32,56027,23.03,736,9,car,2,45.38,0
39191,60,25.95,113547,23.74,410,1,small_business,4,54.06,0
48357,36,28.62,193921,17.49,428,5,medical,1,84.96,0
21932,36,22.08,120127,17.38,625,7,home,4,48.01,0
30855,60,17.43,168930,34.0,307,18,car,4,37.32,0
8158,60,20.45,99003,32.63,328,10,credit_card,4,49.32,1
44016,60,26.72,59758,15.77,411,11,medical,0,57.91,0
8400,60,19.27,74312,36.98,430,8,other,4,18.91,0
43642,36,5.76,88670,38.35,487,1,credit_card,3,90.09,0
16151,36,28.27,102279,16.44,774,7,car,3,67.42,0
2154,36,22.24,35434,17.4,663,10,car,2,63.33,0
5499,36,21.91,198847,22.7,503,3,other,4,9.95,0
7295,60,10.39,95769,37.94,511,9,home,4,60.42,0
13183,36,21.47,86677,35.67,575,19,other,1,12.1,1
30299,36,14.85,103555,8.59,372,15,small_business,0,7.87,0
13874,60,21.28,148379,18.75,542,7,credit_card,2,52.73,0
33711,36,7.66,196806,24.37,401,3,home,4,40.28,0
6539,36,21.45,121665,22.61,470,9,medical,1,58.88,0
43405,36,29.99,191675,11.79,487,11,small_business,0,8.92,0
49354,36,6.21,88803,35.06,740,13,home,2,43.1,0
3557,36,29.43,190404,28.69,385,15,credit_card,2,17.48,1
39360,36,15.17,111703,34.33,775,17,car,4,98.71,0
17482,60,26.77,41312,35.06,351,11,medical,2,56.12,1
3200,60,24.56,195251,31.19,410,17,other,1,68.74,1
47940,36,19.18,137961,20.37,342,6,credit_card,2,32.54,0
3961,36,23.46,60379,26.37,510,19,small_business,3,9.47,1
47975,60,26.96,37297,10.61,499,6,small_business,1,97.59,0
22357,36,15.1,22011,28.58,325,8,car,0,28.63,0
12969,36,13.18,140234,11.27,598,0,car,0,42.38,0
3869,36,21.69,64014,29.29,376,5,medical,4,64.99,1
47760,60,25.2,162810,13.04,436,5,other,4,2.47,0
29643,36,24.06,114333,9.11,319,11,medical,3,81.03,0
25736,60,24.95,198570,10.78,739,11,car,0,53.66,0
39467,36,15.89,31120,5.07,510,9,car,0,27.82,0
24328,60,25.45,159839,30.16,734,5,small_business,0,6.16,0
26876,60,8.01,42852,30.63,506,16,car,0,16.25,0
22295,36,18.61,99239,23.02,738,18,home,2,89.5,0
4987,60,5.14,152001,10.65,341,17,credit_card,1,68.6,0
23399,36,13.11,111575,7.92,710,5,car,1,24.99,0
47214,60,14.16,115040,5.67,822,18,medical,3,6.56,0
34986,36,14.9,168510,10.8,726,9,other,2,69.06,0
21880,36,22.39,199587,36.18,574,7,other,0,57.24,1
5735,60,14.71,25744,13.45,747,5,other,0,40.45,0
45064,36,16.22,193489,17.4,668,6,home,4,36.36,0
5555,36,10.94,158141,8.69,519,0,medical,4,21.68,0
42914,60,14.33,62359,12.78,531,17,home,3,66.96,0
41818,36,10.68,170871,23.17,627,19,car,0,97.07,0
46525,36,6.83,118746,26.27,742,11,credit_card,3,17.57,0
20830,60,20.09,140906,13.59,351,15,other,2,59.71,0
18429,60,21.71,27597,7.02,675,9,medical,1,42.42,0
7893,36,20.49,67093,18.69,562,9,other,0,44.67,0
15373,36,16.59,188298,13.2,566,13,home,2,25.41,0
48333,60,14.49,134650,12.68,658,19,small_business,0,82.51,0
4436,60,26.58,177489,38.6,616,9,car,4,48.53,0
9754,36,17.98,169765,26.57,623,9,credit_card,3,54.34,0
11677,60,16.98,140956,24.49,720,10,car,4,30.48,0
6895,36,5.64,135598,19.55,345,1,small_business,1,18.18,0
20738,36,13.53,153241,20.01,568,19,credit_card,4,8.59,0
31746,36,14.5,173124,23.93,680,7,small_business,0,71.41,0
49404,36,14.97,28036,29.38,417,6,car,4,19.62,0
33352,36,19.5,51778,29.58,415,7,home,0,69.01,0
40790,60,18.34,178806,11.01,559,0,car,1,39.04,0
42919,60,20.2,174245,22.5,374,1,car,4,41.58,0
6600,60,24.12,181475,19.42,779,17,car,3,46.92,0
30124,60,25.32,157416,35.47,604,14,medical,3,36.77,0
28643,36,22.95,38800,27.1,306,0,small_business,3,10.06,1
41764,36,28.89,45372,23.64,665,4,small_business,4,30.96,0
10007,36,5.46,81516,9.04,822,1,other,4,66.37,0
46714,36,9.89,40538,26.2,647,19,small_business,4,66.58,0
38410,60,5.19,83918,9.1,737,2,other,0,28.62,0
45080,36,21.19,166045,16.8,514,18,medical,1,46.01,0
41447,36,27.45,91155,10.0,728,17,home,3,19.34,0
9208,60,11.09,79500,29.22,797,17,other,0,21.04,0
19589,60,28.18,187647,12.22,839,13,car,3,2.3,0
44484,60,6.51,193333,18.72,666,7,home,0,89.67,0
18453,60,28.36,130659,36.35,612,11,medical,4,21.07,0
37212,36,13.79,47716,12.15,837,9,small_business,3,22.75,0
44525,36,7.54,154308,22.77,353,19,other,4,27.96,0
48202,60,17.15,166920,19.67,840,16,car,3,12.74,0
33635,36,11.42,22352,5.63,766,10,credit_card,2,63.93,0
34828,36,12.12,153004,32.75,463,1,credit_card,0,7.51,0
19711,36,12.68,96449,7.42,633,3,home,2,13.42,0
4420,60,25.08,28556,21.6,846,0,small_business,0,64.48,0
32216,36,18.48,106836,24.62,647,14,credit_card,1,33.97,0
1301,60,12.78,156570,26.99,572,12,home,3,70.79,0
46236,36,20.26,70098,29.1,713,7,medical,1,55.74,0
1699,36,22.9,132169,13.86,799,3,home,1,25.6,0
1190,36,11.82,160641,5.35,392,9,home,0,65.08,0
11492,60,15.34,146060,30.32,378,18,home,2,11.63,0
36743,36,8.05,150544,23.75,516,17,car,4,53.64,0
7102,60,9.53,20340,34.26,657,4,home,0,43.71,0
20778,60,22.03,195021,33.75,806,18,other,4,26.79,0
27641,60,9.54,102302,34.52,480,15,home,1,60.4,0
35584,36,18.13,20138,21.98,545,0,car,4,87.13,0
33745,36,22.73,151430,16.68,543,11,car,2,99.89,0
24093,36,7.67,139619,32.7,805,1,medical,0,60.78,0
1569,36,19.18,105376,20.8,721,7,small_business,2,40.47,0
39210,60,11.41,119931,11.42,619,17,credit_card,2,22.52,0
35663,60,29.07,181726,34.92,386,15,credit_card,0,25.71,1
37631,60,17.09,176951,35.89,516,4,home,2,47.95,0
46681,36,25.15,101532,21.32,789,12,medical,3,36.73,0
8455,60,18.76,75778,7.65,818,18,home,3,91.38,0
5014,36,6.09,57772,18.57,577,2,credit_card,3,36.83,0
12093,60,20.83,78478,33.12,468,7,car,4,37.34,1
19070,36,28.79,46762,36.56,629,11,small_business,2,38.35,0
36777,36,20.04,164355,12.12,740,1,medical,0,83.66,0
17538,60,25.48,190492,7.34,690,10,car,0,65.08,0
11729,60,27.11,75568,35.71,795,11,small_business,4,61.42,0
35177,60,10.7,105090,18.63,680,17,medical,0,33.41,0
46017,60,10.3,40219,23.96,605,12,medical,3,81.79,0
1784,36,20.27,77169,38.88,812,4,credit_card,2,3.84,0
28751,60,15.28,94965,7.33,487,11,car,0,87.08,0
41864,60,26.0,197912,27.69,815,1,medical,0,51.27,0
41328,60,27.5,195767,7.59,726,4,other,1,39.83,0
13533,36,13.84,104754,18.14,801,6,medical,1,49.72,0
41111,36,10.92,97988,33.13,559,11,small_business,1,66.74,0
40974,60,24.51,170023,20.17,812,15,credit_card,2,1.28,0
6801,36,11.87,152379,39.9,370,7,home,3,87.16,0
20190,60,25.57,100388,24.57,777,8,credit_card,3,44.67,0
39754,36,15.59,110768,16.24,477,14,home,3,34.3,0
30592,36,21.69,55428,12.7,756,4,car,2,13.82,0
11647,36,7.39,112021,17.27,488,12,car,2,43.95,0
9716,36,20.6,138418,18.04,590,4,medical,1,49.63,0
24355,60,16.29,190047,7.4,819,10,other,0,40.36,0
23009,60,19.67,152212,17.94,591,9,car,4,67.87,0
25376,60,9.2,175914,21.25,582,19,medical,4,42.09,0
46091,36,23.42,46421,30.3,843,12,credit_card,0,96.14,0
5780,60,26.57,21708,27.99,676,8,car,1,59.93,0
3368,60,10.42,154702,29.81,455,13,credit_card,0,80.75,0
13039,60,7.39,170667,5.29,807,17,credit_card,0,10.94,0
7655,36,5.59,96021,12.62,712,14,other,4,39.73,0
41941,36,21.05,179380,28.16,827,9,car,1,33.68,0
5495,36,20.18,64789,21.94,654,6,credit_card,2,56.95,0
11893,60,18.67,46086,5.19,486,7,other,4,86.11,0
26547,60,10.8,36859,33.16,330,2,other,2,7.83,0
23386,60,14.77,27684,32.05,559,14,car,1,7.26,0
14403,36,19.86,111088,24.19,720,15,other,0,85.03,0
33097,36,17.42,152279,7.33,828,3,car,3,21.29,0
14121,60,29.69,66099,31.83,603,5,car,3,66.88,0
11966,36,8.41,86093,25.43,338,0,home,1,54.29,0
34621,36,22.38,180761,32.37,788,3,credit_card,3,83.29,0
29312,36,15.11,68651,31.31,841,10,small_business,2,12.51,0
23677,36,15.7,33893,33.11,577,11,car,3,12.98,0
32289,60,22.94,86418,23.13,502,4,credit_card,1,55.68,0
32024,36,22.31,145074,9.91,365,15,other,1,94.64,0
43675,36,29.78,123065,28.49,407,12,medical,2,41.5,1
5777,36,8.21,150351,26.72,567,12,car,3,32.69,0
30749,36,7.6,58635,30.98,521,16,other,3,60.67,0
16338,60,23.11,115071,10.95,829,6,other,0,93.04,0
3491,60,19.46,98518,11.82,389,7,other,4,83.69,0
28236,36,11.85,126233,36.16,554,12,other,1,99.55,0
49096,36,6.99,123651,31.25,754,15,other,0,2.26,0
15599,36,7.14,92805,36.79,552,3,car,1,11.29,0
20508,36,27.35,179136,31.56,556,7,small_business,0,60.95,1
4051,36,9.8,142813,25.9,682,15,home,4,82.06,0
49747,36,13.08,99063,27.89,741,9,other,0,28.52,0
22606,60,10.67,22454,36.12,389,11,other,1,23.92,0
22699,36,13.87,40878,25.26,689,11,home,3,78.7,0
1876,60,6.74,164063,27.13,343,4,car,1,5.64,0
33093,60,17.98,88344,10.48,318,15,credit_card,2,36.94,0
5142,36,6.69,124946,21.59,400,0,medical,2,50.58,0
16202,60,25.01,56593,30.07,656,8,medical,2,56.03,0
40734,60,10.84,56304,14.48,841,11,credit_card,2,72.86,0
8079,60,18.5,181458,12.08,332,4,car,4,35.48,0
8987,60,27.0,133613,15.98,528,19,medical,3,61.27,0
40567,60,21.27,172155,13.45,823,2,home,3,58.54,0
29940,60,18.32,38354,12.52,454,4,credit_card,1,54.76,0
38233,36,13.11,42190,19.87,722,1,small_business,0,64.05,0
18019,60,13.33,26142,36.77,545,13,car,1,25.94,0
47185,60,21.74,179470,22.75,704,1,credit_card,1,8.46,0
19077,60,29.85,61862,11.58,840,12,medical,1,11.93,0
27258,36,21.55,170575,7.69,460,6,car,1,22.46,0
22136,60,18.94,145438,29.37,416,9,home,3,50.02,0
